時間,車種,行き先,
4:59,普通,中野,
5:09,普通,中野,
5:30,普通,中野,
5:50,普通,中野,
5:58,普通,中野,
6:16,普通,中野,
6:27,普通,中野,
6:39,普通,中野,
6:51,普通,中野,
7:01,普通,中野,
7:09,普通,三鷹,
7:14,普通,中野,
7:23,普通,中野,
7:33,普通,三鷹,
7:38,普通,中野,
7:44,快速,中野,
7:52,普通,中野,
7:58,普通,三鷹,
8:07,普通,中野,
8:16,普通,中野,
8:23,快速,三鷹,
8:33,普通,中野,
8:41,快速,中野,
8:49,普通,中野,
8:57,快速,中野,
9:04,普通,中野,
9:11,快速,中野,
9:26,快速,中野,
9:41,快速,中野,
9:56,快速,中野,
10:10,快速,中野,
10:26,快速,中野,
10:41,快速,中野,
10:56,快速,中野,
11:11,快速,中野,
11:26,快速,中野,
11:41,快速,中野,
11:56,快速,中野,
12:11,快速,中野,
12:26,快速,中野,
12:41,快速,中野,
12:56,快速,中野,
13:11,快速,中野,
13:26,快速,中野,
13:41,快速,中野,
13:56,快速,中野,
14:11,快速,中野,
14:26,快速,中野,
14:41,快速,中野,
14:56,快速,中野,
15:11,快速,中野,
15:26,快速,中野,
15:41,快速,中野,
15:56,快速,中野,
16:11,快速,中野,
16:26,快速,三鷹,
16:41,快速,中野,
16:56,快速,中野,
17:10,快速,三鷹,
17:25,快速,中野,
17:41,快速,中野,
17:56,快速,中野,
18:10,快速,中野,
18:26,快速,中野,
18:43,快速,中野,
19:00,快速,中野,
19:09,普通,中野,
19:22,快速,中野,
19:32,普通,中野,
19:45,快速,中野,
20:01,普通,中野,
20:15,快速,中野,
20:31,普通,中野,
20:44,快速,中野,
20:57,普通,中野,
21:13,普通,中野,
21:27,普通,中野,
21:36,普通,中野,
21:43,普通,中野,
21:58,普通,中野,
22:06,普通,中野,
22:21,普通,中野,
22:32,普通,中野,
22:41,普通,中野,
22:52,普通,中野,
23:03,普通,中野,
23:14,普通,中野,
23:27,普通,中野,
23:57,普通,東陽町,
